Species,Servings for Women 18-49 Years and Children 1-17 Years,Servings for Women 50 Years and Older and Men 18 Years and Older
Chub Mackerel,0,1
Top Smelt,0,0
Yellowfin Croaker,0,1
Barred Sand Bass,0,1
Shovelnose Guitarfish,1,2
Black Perch,1,2
Shiner Surfperch,0,0
Rainbow Surfperch,2,7
Pile Surfperch,2,7
Diamond Turbot,2,2
Spotted Turbot,2,2
Spotted Sand Bass,0,1
Gray Smoothhound Shark,0,1
Leopard Shark,0,1
