Species,Servings for Women 18-49 Years and Children 1-17 Years,Servings for Women 50 Years and Older and Men 18 Years and Older
Opaleye,7,7
Top Smelt,6,7
Yellowfin Croaker,2,5
Black Perch,3,7
Shiner Surfperch,3,3
Rainbow Surfperch,3,7
White Surfperch,3,7
Diamond Turbot,7,7
Spotted Turbot,7,7
Striped Mullet,3,3
Brown Smooth-Hound Shark,1,3
Spotted Sand Bass,1,3
