Species,Servings for Women 18-49 Years and Children 1-17 Years,Servings for Women 50 Years and Older and Men 18 Years and Older
Jacksmelt,4,7
California Corbina,2,2
Opaleye,2,2
Pacific Chub Mackerel,2,4
Queenfish,2,2
Surfperch,2,2
Topsmelt,2,2
Yellowfin Croaker,2,2
Barred Sand Bass,1,2
California Halibut,1,2
California Scorpionfish,1,1
Kelp Bass,1,1
Pacific Sardine,1,1
Rockfish,1,2
Sargo,1,1
Shovelnose Guitarfish,1,2
White Croaker,1,2
Black Croaker,0,1
Pacific Barracuda,0,1
